species	protein_record_id	sequence_header	symbol	ensembl_gene_id	ensembl_protein_id	translation_id	orthology_type	taxonomy_level	clade	phylum	broad_clade	is_query	is_reference	length_aa	retrieval_status	header_label_source	metadata_object_id	metadata_organism_name	metadata_pub_gene_id	metadata_description	metadata_og_name	metadata_raw_header	scientific_name	common_name	species_display_label	preferred_public_gene_label	preferred_protein_name	preferred_public_label	nomenclature_leaf_label	description	biotype	canonical_translation	reviewed_status	protein_existence	uniprot_accession	uniprot_entry_id	gene_synonyms	protein_alternative_names	subcellular_locations	keyword_list	ec_numbers	alphafold_accession	alphafold_entry_id	alphafold_model_url	alphafold_source_label	metadata_error
erinaceus_europaeus	erinaceus_europaeus__ENSEEUP00000001406	erinaceus_europaeus|ProteinRecordID=erinaceus_europaeus__ENSEEUP00000001406|Gene=ENSEEUG00000001552|EnsemblGene=ENSEEUG00000001552|Protein=ENSEEUP00000001406	ENSEEUG00000001552	ENSEEUG00000001552	ENSEEUP00000001406	ENSEEUP00000001406	ortholog_one2one	Eutheria	tetrapods	Chordata	tetrapods	False	False	367	ok	ensembl							erinaceus europaeus	Hedgehog	Hedgehog	ENSEEUG00000001552		ENSEEUG00000001552, Hedgehog	ENSEEUG00000001552, Hedgehog			ENSEEUP00000001406														
echinops_telfairi	echinops_telfairi__ENSETEP00000012640	echinops_telfairi|ProteinRecordID=echinops_telfairi__ENSETEP00000012640|Gene=ENSETEG00000015589|EnsemblGene=ENSETEG00000015589|Protein=ENSETEP00000012640	ENSETEG00000015589	ENSETEG00000015589	ENSETEP00000014704	ENSETEP00000012640	ortholog_one2many	Eutheria	tetrapods	Chordata	tetrapods	False	False	276	ok	ensembl							echinops telfairi	Lesser hedgehog tenrec	Lesser hedgehog tenrec	ENSETEG00000015589		ENSETEG00000015589, Lesser hedgehog tenrec	ENSETEG00000015589, Lesser hedgehog tenrec			ENSETEP00000012640														
echinops_telfairi	echinops_telfairi__ENSETEP00000015929	echinops_telfairi|ProteinRecordID=echinops_telfairi__ENSETEP00000015929|Gene=ENSETEG00000019613|EnsemblGene=ENSETEG00000019613|Protein=ENSETEP00000015929	ENSETEG00000019613	ENSETEG00000019613	ENSETEP00000014704	ENSETEP00000015929	ortholog_one2many	Eutheria	tetrapods	Chordata	tetrapods	False	False	362	ok	ensembl							echinops telfairi	Lesser hedgehog tenrec	Lesser hedgehog tenrec	ENSETEG00000019613		ENSETEG00000019613, Lesser hedgehog tenrec	ENSETEG00000019613, Lesser hedgehog tenrec			ENSETEP00000015929														
echinops_telfairi	echinops_telfairi__ENSETEP00000014704	echinops_telfairi|ProteinRecordID=echinops_telfairi__ENSETEP00000014704|Gene=ENSETEG00000018098|EnsemblGene=ENSETEG00000018098|Protein=ENSETEP00000014704	ENSETEG00000018098	ENSETEG00000018098	ENSETEP00000014704	ENSETEP00000014704	ortholog_one2many	Eutheria	tetrapods	Chordata	tetrapods	False	False	276	ok	ensembl							echinops telfairi	Lesser hedgehog tenrec	Lesser hedgehog tenrec	ENSETEG00000018098		ENSETEG00000018098, Lesser hedgehog tenrec	ENSETEG00000018098, Lesser hedgehog tenrec			ENSETEP00000014704														
callithrix_jacchus	callithrix_jacchus__ENSCJAP00000035414	callithrix_jacchus|ProteinRecordID=callithrix_jacchus__ENSCJAP00000035414|Gene=ENSCJAG00000019070|EnsemblGene=ENSCJAG00000019070|Protein=ENSCJAP00000035414	ENSCJAG00000019070	ENSCJAG00000019070	ENSCJAP00000035414	ENSCJAP00000035414	ortholog_one2one	Simiiformes	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							callithrix jacchus	White-tufted-ear marmoset	White-tufted-ear marmoset	ENSCJAG00000019070		ENSCJAG00000019070, White-tufted-ear marmoset	ENSCJAG00000019070, White-tufted-ear marmoset			ENSCJAP00000035414			F7IQ82							F7IQ82	AF-F7IQ82-F1			
cercocebus_atys	cercocebus_atys__ENSCATP00000010519	cercocebus_atys|ProteinRecordID=cercocebus_atys__ENSCATP00000010519|Gene=ENSCATG00000029538|EnsemblGene=ENSCATG00000029538|Protein=ENSCATP00000010519	ENSCATG00000029538	ENSCATG00000029538	ENSCATP00000010519	ENSCATP00000010519	ortholog_one2one	Catarrhini	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							cercocebus atys	Sooty mangabey	Sooty mangabey	ENSCATG00000029538		ENSCATG00000029538, Sooty mangabey	ENSCATG00000029538, Sooty mangabey			ENSCATP00000010519			A0A2K5LC30							A0A2K5LC30	AF-A0A2K5LC30-F1			
macaca_fascicularis	macaca_fascicularis__ENSMFAP00000016275	macaca_fascicularis|ProteinRecordID=macaca_fascicularis__ENSMFAP00000016275|Gene=ENSMFAG00000031332|EnsemblGene=ENSMFAG00000031332|Protein=ENSMFAP00000016275	ENSMFAG00000031332	ENSMFAG00000031332	ENSMFAP00000016275	ENSMFAP00000016275	ortholog_one2one	Catarrhini	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							macaca fascicularis	Crab-eating macaque	Crab-eating macaque	ENSMFAG00000031332		ENSMFAG00000031332, Crab-eating macaque	ENSMFAG00000031332, Crab-eating macaque			ENSMFAP00000016275			A0A2K5UUY5							A0A2K5UUY5	AF-A0A2K5UUY5-F1			
macaca_nemestrina	macaca_nemestrina__ENSMNEP00000018922	macaca_nemestrina|ProteinRecordID=macaca_nemestrina__ENSMNEP00000018922|Gene=ENSMNEG00000033351|EnsemblGene=ENSMNEG00000033351|Protein=ENSMNEP00000018922	ENSMNEG00000033351	ENSMNEG00000033351	ENSMNEP00000018922	ENSMNEP00000018922	ortholog_one2one	Catarrhini	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							macaca nemestrina	Pig-tailed macaque	Pig-tailed macaque	ENSMNEG00000033351		ENSMNEG00000033351, Pig-tailed macaque	ENSMNEG00000033351, Pig-tailed macaque			ENSMNEP00000018922			A0A2K6C5I6							A0A2K6C5I6	AF-A0A2K6C5I6-F1			
macaca_mulatta	macaca_mulatta__ENSMMUP00000081213	macaca_mulatta|ProteinRecordID=macaca_mulatta__ENSMMUP00000081213|Gene=ENSMMUG00000002540|EnsemblGene=ENSMMUG00000002540|Protein=ENSMMUP00000081213	ENSMMUG00000002540	ENSMMUG00000002540	ENSMMUP00000081213	ENSMMUP00000081213	ortholog_one2one	Catarrhini	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							macaca mulatta	Macaque	Macaque	ENSMMUG00000002540		ENSMMUG00000002540, Macaque	ENSMMUG00000002540, Macaque			ENSMMUP00000081213			A0A5F8AVE4							A0A5F8AVE4	AF-A0A5F8AVE4-F1			
papio_anubis	papio_anubis__ENSPANP00000053724	papio_anubis|ProteinRecordID=papio_anubis__ENSPANP00000053724|Gene=ENSPANG00000021242|EnsemblGene=ENSPANG00000021242|Protein=ENSPANP00000053724	ENSPANG00000021242	ENSPANG00000021242	ENSPANP00000053724	ENSPANP00000053724	ortholog_one2one	Catarrhini	tetrapods	Chordata	tetrapods	False	False	404	ok	ensembl							papio anubis	Olive baboon	Olive baboon	ENSPANG00000021242		ENSPANG00000021242, Olive baboon	ENSPANG00000021242, Olive baboon			ENSPANP00000053724			A0A8I5N2U2							A0A8I5N2U2	AF-A0A8I5N2U2-F1			
mandrillus_leucophaeus	mandrillus_leucophaeus__ENSMLEP00000012553	mandrillus_leucophaeus|ProteinRecordID=mandrillus_leucophaeus__ENSMLEP00000012553|Gene=ENSMLEG00000030456|EnsemblGene=ENSMLEG00000030456|Protein=ENSMLEP00000012553	ENSMLEG00000030456	ENSMLEG00000030456	ENSMLEP00000012553	ENSMLEP00000012553	ortholog_one2one	Simiiformes	tetrapods	Chordata	tetrapods	False	False	371	ok	ensembl							mandrillus leucophaeus	Drill	Drill	ENSMLEG00000030456		ENSMLEG00000030456, Drill	ENSMLEG00000030456, Drill			ENSMLEP00000012553			A0A2K5YAH9							A0A2K5YAH9	AF-A0A2K5YAH9-F1			
ailuropoda_melanoleuca	ailuropoda_melanoleuca__ENSAMEP00000003069	ailuropoda_melanoleuca|ProteinRecordID=ailuropoda_melanoleuca__ENSAMEP00000003069|Gene=ENSAMEG00000002913|EnsemblGene=ENSAMEG00000002913|Protein=ENSAMEP00000003069	ENSAMEG00000002913	ENSAMEG00000002913	ENSAMEP00000003069	ENSAMEP00000003069	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	474	ok	ensembl							ailuropoda melanoleuca		Ailuropoda melanoleuca	ENSAMEG00000002913		ENSAMEG00000002913, Ailuropoda melanoleuca	ENSAMEG00000002913, Ailuropoda melanoleuca			ENSAMEP00000003069			G1L853							G1L853	AF-G1L853-F1			
panthera_leo	panthera_leo__ENSPLOP00000007542	panthera_leo|ProteinRecordID=panthera_leo__ENSPLOP00000007542|Gene=ENSPLOG00000005526|EnsemblGene=ENSPLOG00000005526|Protein=ENSPLOP00000007542	ENSPLOG00000005526	ENSPLOG00000005526	ENSPLOP00000007542	ENSPLOP00000007542	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							panthera leo	Lion	Lion	ENSPLOG00000005526		ENSPLOG00000005526, Lion	ENSPLOG00000005526, Lion			ENSPLOP00000007542			A0A8C9D1L3							A0A8C9D1L3	AF-A0A8C9D1L3-F1			
ursus_americanus	ursus_americanus__ENSUAMP00000010964	ursus_americanus|ProteinRecordID=ursus_americanus__ENSUAMP00000010964|Gene=ENSUAMG00000008972|EnsemblGene=ENSUAMG00000008972|Protein=ENSUAMP00000010964	ENSUAMG00000008972	ENSUAMG00000008972	ENSUAMP00000010964	ENSUAMP00000010964	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							ursus americanus	American black bear	American black bear	ENSUAMG00000008972		ENSUAMG00000008972, American black bear	ENSUAMG00000008972, American black bear			ENSUAMP00000010964			A0A452QYL7							A0A452QYL7	AF-A0A452QYL7-F1			
cricetulus_griseus_picr	cricetulus_griseus_picr__ENSCGRP00015048141	cricetulus_griseus_picr|ProteinRecordID=cricetulus_griseus_picr__ENSCGRP00015048141|Gene=ENSCGRG00015026990|EnsemblGene=ENSCGRG00015026990|Protein=ENSCGRP00015048141	ENSCGRG00015026990	ENSCGRG00015026990	ENSCGRP00015035988	ENSCGRP00015048141	ortholog_one2many	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	331	ok	ensembl							cricetulus griseus picr		Cricetulus griseus picr	ENSCGRG00015026990		ENSCGRG00015026990, Cricetulus griseus picr	ENSCGRG00015026990, Cricetulus griseus picr			ENSCGRP00015048141														
cricetulus_griseus_picr	cricetulus_griseus_picr__ENSCGRP00015035988	cricetulus_griseus_picr|ProteinRecordID=cricetulus_griseus_picr__ENSCGRP00015035988|Gene=ENSCGRG00015027006|EnsemblGene=ENSCGRG00015027006|Protein=ENSCGRP00015035988	ENSCGRG00015027006	ENSCGRG00015027006	ENSCGRP00015035988	ENSCGRP00015035988	ortholog_one2many	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	420	ok	ensembl							cricetulus griseus picr		Cricetulus griseus picr	ENSCGRG00015027006		ENSCGRG00015027006, Cricetulus griseus picr	ENSCGRG00015027006, Cricetulus griseus picr			ENSCGRP00015035988														
equus_asinus	equus_asinus__ENSEASP00005023745	equus_asinus|ProteinRecordID=equus_asinus__ENSEASP00005023745|Gene=ENSEASG00005016143|EnsemblGene=ENSEASG00005016143|Protein=ENSEASP00005023745	ENSEASG00005016143	ENSEASG00005016143	ENSEASP00005023745	ENSEASP00005023745	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	338	ok	ensembl							equus asinus		Equus asinus	ENSEASG00005016143		ENSEASG00005016143, Equus asinus	ENSEASG00005016143, Equus asinus			ENSEASP00005023745			A0A8C4PR33							A0A8C4PR33	AF-A0A8C4PR33-F1			
balaenoptera_musculus	balaenoptera_musculus__ENSBMSP00010010491	balaenoptera_musculus|ProteinRecordID=balaenoptera_musculus__ENSBMSP00010010491|Gene=ENSBMSG00010007688|EnsemblGene=ENSBMSG00010007688|Protein=ENSBMSP00010010491	ENSBMSG00010007688	ENSBMSG00010007688	ENSBMSP00010010491	ENSBMSP00010010491	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							balaenoptera musculus	Blue whale	Blue whale	ENSBMSG00010007688		ENSBMSG00010007688, Blue whale	ENSBMSG00010007688, Blue whale			ENSBMSP00010010491														
sus_scrofa	sus_scrofa__ENSSSCP00000005463	sus_scrofa|ProteinRecordID=sus_scrofa__ENSSSCP00000005463|Gene=ENSSSCG00000005083|EnsemblGene=ENSSSCG00000005083|Protein=ENSSSCP00000005463	ENSSSCG00000005083	ENSSSCG00000005083	ENSSSCP00000005463	ENSSSCP00000005463	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							sus scrofa		Sus scrofa	ENSSSCG00000005083		ENSSSCG00000005083, Sus scrofa	ENSSSCG00000005083, Sus scrofa			ENSSSCP00000005463			F1SSI2							F1SSI2	AF-F1SSI2-F1			
mustela_putorius_furo	mustela_putorius_furo__ENSMPUP00000006245	mustela_putorius_furo|ProteinRecordID=mustela_putorius_furo__ENSMPUP00000006245|Gene=ENSMPUG00000006299|EnsemblGene=ENSMPUG00000006299|Protein=ENSMPUP00000006245	ENSMPUG00000006299	ENSMPUG00000006299	ENSMPUP00000006245	ENSMPUP00000006245	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							mustela putorius furo	Ferret	Ferret	ENSMPUG00000006299		ENSMPUG00000006299, Ferret	ENSMPUG00000006299, Ferret			ENSMPUP00000006245														
heterocephalus_glaber_female	heterocephalus_glaber_female__ENSHGLP00000019974	heterocephalus_glaber_female|ProteinRecordID=heterocephalus_glaber_female__ENSHGLP00000019974|Gene=ENSHGLG00000014306|EnsemblGene=ENSHGLG00000014306|Protein=ENSHGLP00000019974	ENSHGLG00000014306	ENSHGLG00000014306	ENSHGLP00000019974	ENSHGLP00000019974	ortholog_one2one	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	337	ok	ensembl							heterocephalus glaber female		Heterocephalus glaber female	ENSHGLG00000014306		ENSHGLG00000014306, Heterocephalus glaber female	ENSHGLG00000014306, Heterocephalus glaber female			ENSHGLP00000019974														
vicugna_pacos	vicugna_pacos__ENSVPAP00000004863	vicugna_pacos|ProteinRecordID=vicugna_pacos__ENSVPAP00000004863|Gene=ENSVPAG00000005239|EnsemblGene=ENSVPAG00000005239|Protein=ENSVPAP00000004863	ENSVPAG00000005239	ENSVPAG00000005239	ENSVPAP00000004863	ENSVPAP00000004863	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	368	ok	ensembl							vicugna pacos	Alpaca	Alpaca	ENSVPAG00000005239		ENSVPAG00000005239, Alpaca	ENSVPAG00000005239, Alpaca			ENSVPAP00000004863														
sorex_araneus	sorex_araneus__ENSSARP00000004141	sorex_araneus|ProteinRecordID=sorex_araneus__ENSSARP00000004141|Gene=ENSSARG00000004554|EnsemblGene=ENSSARG00000004554|Protein=ENSSARP00000004141	ENSSARG00000004554	ENSSARG00000004554	ENSSARP00000004141	ENSSARP00000004141	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	372	ok	ensembl							sorex araneus	Shrew	Shrew	ENSSARG00000004554		ENSSARG00000004554, Shrew	ENSSARG00000004554, Shrew			ENSSARP00000004141														
mesocricetus_auratus	mesocricetus_auratus__ENSMAUP00000006656	mesocricetus_auratus|ProteinRecordID=mesocricetus_auratus__ENSMAUP00000006656|Gene=ENSMAUG00000008532|EnsemblGene=ENSMAUG00000008532|Protein=ENSMAUP00000006656	ENSMAUG00000008532	ENSMAUG00000008532	ENSMAUP00000010985	ENSMAUP00000006656	ortholog_one2many	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	312	ok	ensembl							mesocricetus auratus	Golden Hamster	Golden Hamster	ENSMAUG00000008532		ENSMAUG00000008532, Golden Hamster	ENSMAUG00000008532, Golden Hamster			ENSMAUP00000006656														
mesocricetus_auratus	mesocricetus_auratus__ENSMAUP00000010985	mesocricetus_auratus|ProteinRecordID=mesocricetus_auratus__ENSMAUP00000010985|Gene=ENSMAUG00000011707|EnsemblGene=ENSMAUG00000011707|Protein=ENSMAUP00000010985	ENSMAUG00000011707	ENSMAUG00000011707	ENSMAUP00000010985	ENSMAUP00000010985	ortholog_one2many	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	228	ok	ensembl							mesocricetus auratus	Golden Hamster	Golden Hamster	ENSMAUG00000011707		ENSMAUG00000011707, Golden Hamster	ENSMAUG00000011707, Golden Hamster			ENSMAUP00000010985														
mus_spicilegus	mus_spicilegus__ENSMSIP00000029658	mus_spicilegus|ProteinRecordID=mus_spicilegus__ENSMSIP00000029658|Gene=ENSMSIG00000024915|EnsemblGene=ENSMSIG00000024915|Protein=ENSMSIP00000029658	ENSMSIG00000024915	ENSMSIG00000024915	ENSMSIP00000029683	ENSMSIP00000029658	ortholog_one2many	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	338	ok	ensembl							mus spicilegus	Steppe mouse	Steppe mouse	ENSMSIG00000024915		ENSMSIG00000024915, Steppe mouse	ENSMSIG00000024915, Steppe mouse			ENSMSIP00000029658			A0A8C6I1V1							A0A8C6I1V1	AF-A0A8C6I1V1-F1			
mus_spicilegus	mus_spicilegus__ENSMSIP00000029683	mus_spicilegus|ProteinRecordID=mus_spicilegus__ENSMSIP00000029683|Gene=ENSMSIG00000024922|EnsemblGene=ENSMSIG00000024922|Protein=ENSMSIP00000029683	ENSMSIG00000024922	ENSMSIG00000024922	ENSMSIP00000029683	ENSMSIP00000029683	ortholog_one2many	Euarchontoglires	tetrapods	Chordata	tetrapods	False	False	335	ok	ensembl							mus spicilegus	Steppe mouse	Steppe mouse	ENSMSIG00000024922		ENSMSIG00000024922, Steppe mouse	ENSMSIG00000024922, Steppe mouse			ENSMSIP00000029683			A0A8C6I1V1							A0A8C6I1V1	AF-A0A8C6I1V1-F1			
bos_taurus	bos_taurus__ENSBTAP00000086519	bos_taurus|ProteinRecordID=bos_taurus__ENSBTAP00000086519|Gene=ENSBTAG00000020729|EnsemblGene=ENSBTAG00000020729|Protein=ENSBTAP00000086519	ENSBTAG00000020729	ENSBTAG00000020729	ENSBTAP00000086519	ENSBTAP00000086519	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							bos taurus		Bos taurus	ENSBTAG00000020729		ENSBTAG00000020729, Bos taurus	ENSBTAG00000020729, Bos taurus			ENSBTAP00000086519			A0AAA9SJP4							A0AAA9SJP4	AF-A0AAA9SJP4-F1			
camelus_dromedarius	camelus_dromedarius__ENSCDRP00005007130	camelus_dromedarius|ProteinRecordID=camelus_dromedarius__ENSCDRP00005007130|Gene=ENSCDRG00005005123|EnsemblGene=ENSCDRG00005005123|Protein=ENSCDRP00005007130	ENSCDRG00005005123	ENSCDRG00005005123	ENSCDRP00005007130	ENSCDRP00005007130	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	394	ok	ensembl							camelus dromedarius	Arabian camel	Arabian camel	ENSCDRG00005005123		ENSCDRG00005005123, Arabian camel	ENSCDRG00005005123, Arabian camel			ENSCDRP00005007130														
vulpes_vulpes	vulpes_vulpes__ENSVVUP00000041438	vulpes_vulpes|ProteinRecordID=vulpes_vulpes__ENSVVUP00000041438|Gene=ENSVVUG00000029494|EnsemblGene=ENSVVUG00000029494|Protein=ENSVVUP00000041438	ENSVVUG00000029494	ENSVVUG00000029494	ENSVVUP00000041438	ENSVVUP00000041438	ortholog_one2one	Boreoeutheria	tetrapods	Chordata	tetrapods	False	False	339	ok	ensembl							vulpes vulpes	Red fox	Red fox	ENSVVUG00000029494		ENSVVUG00000029494, Red fox	ENSVVUG00000029494, Red fox			ENSVVUP00000041438														
